爱心,愛心,àixīn,compassion
结婚,結婚,jiéhūn,to marry
结束,結束,jiéshù,to end
解决,解決,jiějué,to solve
借,借,jiè,to borrow
经常,經常,jīngcháng,often
经过,經過,jīngguò,to pass through
经理,經理,jīnglǐ,manager
精神,精神,jīngshén,spirit
久,久,jiǔ,long time
举行,舉行,jǔxíng,to hold
决定,決定,juédìng,to decide
觉得,覺得,juéde,to feel
开始,開始,kāishǐ,to begin
看见,看見,kànjiàn,to see
考试,考試,kǎoshì,exam
科学,科學,kēxué,science
可能,可能,kěnéng,possible
可惜,可惜,kěxī,what a pity
客人,客人,kèrén,guest
空气,空氣,kōngqì,air
口,口,kǒu,mouth
哭,哭,kū,to cry
快,快,kuài,fast
困难,困難,kùnnan,difficult
垃圾,垃圾,lājī,garbage
来不及,來不及,láibují,too late
老,老,lǎo,old
老师,老師,lǎoshī,teacher
离开,離開,líkāi,to leave
历史,歷史,lìshǐ,history
连,連,lián,even
脸,臉,liǎn,face
练习,練習,liànxí,to practice
聊天,聊天,liáotiān,to chat
了解,了解,liǎojiě,to understand
邻居,鄰居,línjū,neighbor
流行,流行,liúxíng,popular
楼,樓,lóu,building
旅游,旅遊,lǚyóu,to travel
绿,綠,lǜ,green
满意,滿意,mǎnyì,satisfied
毛巾,毛巾,máojīn,towel
帽子,帽子,màozi,hat
美丽,美麗,měilì,beautiful
门口,門口,ménkǒu,doorway
梦,夢,mèng,dream
秘密,秘密,mìmì,secret
免费,免費,miǎnfèi,free
面条,麵條,miàntiáo,noodles
民族,民族,mínzú,ethnic group
明白,明白,míngbái,to understand
目的,目的,mùdì,purpose
拿,拿,ná,to take
奶奶,奶奶,nǎinai,grandmother
南,南,nán,south
难道,難道,nándào,could it be
内容,內容,nèiróng,content
能够,能夠,nénggòu,to be able to
年级,年級,niánjí,grade
鸟,鳥,niǎo,bird
努力,努力,nǔlì,to make an effort
女儿,女兒,nǚér,daughter
爬山,爬山,páshān,to climb a mountain
排队,排隊,páiduì,to queue
判断,判斷,pànduàn,to judge
胖,胖,pàng,fat
跑步,跑步,pǎobù,to run
陪,陪,péi,to accompany
皮鞋,皮鞋,píxié,leather shoes
篇,篇,piān,piece
便宜,便宜,piányi,cheap
骗,騙,piàn,to deceive
票,票,piào,ticket
乒乓球,乒乓球,pīngpāngqiú,table tennis
平时,平時,píngshí,usually
其实,其實,qíshí,actually
其他,其他,qítā,other
骑,騎,qí,to ride
起床,起床,qǐchuáng,to get up
起飞,起飛,qǐfēi,to take off
气候,氣候,qìhòu,climate
汽车,汽車,qìchē,car
千,千,qiān,thousand
铅笔,鉛筆,qiānbǐ,pencil
前面,前面,qiánmiàn,front
钱包,錢包,qiánbāo,wallet
墙,牆,qiáng,wall
桥,橋,qiáo,bridge
巧克力,巧克力,qiǎokèlì,chocolate
亲戚,親戚,qīnqi,relative
轻,輕,qīng,light
情况,情況,qíngkuàng,situation
请假,請假,qǐngjià,to ask for leave
秋,秋,qiū,autumn
区别,區別,qūbié,difference
取,取,qǔ,to take
去年,去年,qùnián,last year
权利,權利,quánlì,right
缺少,缺少,quēshǎo,to lack
确实,確實,quèshí,indeed
然而,然而,rán'ér,however
热情,熱情,rèqíng,enthusiastic
人民,人民,rénmín,people
认为,認為,rènwéi,to think
认真,認真,rènzhēn,serious
日记,日記,rìjì,diary
容易,容易,róngyì,easy
如果,如果,rúguǒ,if
软,軟,ruǎn,soft
散步,散步,sànbù,to take a walk
森林,森林,sēnlín,forest
沙发,沙發,shāfā,sofa
商店,商店,shāngdiàn,shop
上网,上網,shàngwǎng,to go online
设计,設計,shèjì,to design
社会,社會,shèhuì,society
申请,申請,shēnqǐng,to apply
深,深,shēn,deep
生活,生活,shēnghuó,life
生意,生意,shēngyì,business
省,省,shěng,province
剩,剩,shèng,to remain
失败,失敗,shībài,to fail
师傅,師傅,shīfu,master
时间,時間,shíjiān,time
实际,實際,shíjì,actual
实现,實現,shíxiàn,to realize
食品,食品,shípǐn,food
使用,使用,shǐyòng,to use
世界,世界,shìjiè,world
收,收,shōu,to receive
手续,手續,shǒuxù,procedure
首都,首都,shǒudū,capital
受不了,受不了,shòubuliǎo,can't stand
受到,受到,shòudào,to receive
瘦,瘦,shòu,thin
数学,數學,shùxué,mathematics
刷牙,刷牙,shuāyá,to brush teeth
双,雙,shuāng,pair
水平,水平,shuǐpíng,level
顺便,順便,shùnbiàn,by the way
顺利,順利,shùnlì,smooth
说话,說話,shuōhuà,to speak
硕士,碩士,shuòshì,master's degree
死,死,sǐ,to die
速度,速度,sùdù,speed
酸,酸,suān,sour
随便,隨便,suíbiàn,casual
孙子,孫子,sūnzi,grandson
所以,所以,suǒyǐ,therefore
台,台,tái,platform
抬,抬,tái,to lift
态度,態度,tàidù,attitude
谈,談,tán,to talk
糖,糖,táng,sugar
讨论,討論,tǎolùn,to discuss
特别,特別,tèbié,special
疼,疼,téng,to hurt
提高,提高,tígāo,to improve
体育,體育,tǐyù,sports
天气,天氣,tiānqì,weather
条件,條件,tiáojiàn,condition
跳舞,跳舞,tiàowǔ,to dance
听说,聽說,tīngshuō,to hear
通过,通過,tōngguò,to pass through
通知,通知,tōngzhī,to notify
同情,同情,tóngqíng,sympathy
同时,同時,tóngshí,at the same time
头发,頭髮,tóufa,hair
突然,突然,tūrán,suddenly
图书馆,圖書館,túshūguǎn,library
推,推,tuī,to push
脱,脫,tuō,to take off
袜子,襪子,wàzi,socks
完成,完成,wánchéng,to complete
晚会,晚會,wǎnhuì,evening party
万,萬,wàn,ten thousand
往,往,wǎng,towards
忘记,忘記,wàngjì,to forget
危险,危險,wēixiǎn,dangerous
为了,為了,wèile,for
位置,位置,wèizhi,position
文化,文化,wénhuà,culture
污染,污染,wūrǎn,pollution
无聊,無聊,wúliáo,boring
午餐,午餐,wǔcān,lunch
西,西,xī,west
希望,希望,xīwàng,to hope
习惯,習慣,xíguàn,habit
洗澡,洗澡,xǐzǎo,to take a bath
夏,夏,xià,summer
先,先,xiān,first
现在,現在,xiànzài,now
相信,相信,xiāngxìn,to believe
详细,詳細,xiángxì,detailed
想,想,xiǎng,to think
向,向,xiàng,towards
消息,消息,xiāoxi,news
小心,小心,xiǎoxīn,careful
效果,效果,xiàoguǒ,effect
校长,校長,xiàozhǎng,principal
心情,心情,xīnqíng,mood
信心,信心,xìnxīn,confidence
行李,行李,xíngli,luggage
兴趣,興趣,xìngqù,interest
休息,休息,xiūxi,to rest
需要,需要,xūyào,to need
选择,選擇,xuǎnzé,to choose
学期,學期,xuéqī,semester
学习,學習,xuéxí,to study
压力,壓力,yālì,pressure
牙齿,牙齒,yáchǐ,teeth
严重,嚴重,yánzhòng,serious
研究,研究,yánjiū,to research
颜色,顏色,yánsè,color
眼镜,眼鏡,yǎnjìng,glasses
演出,演出,yǎnchū,performance
养成,養成,yǎngchéng,to develop
样子,樣子,yàngzi,appearance
要求,要求,yāoqiú,to require
也许,也許,yěxǔ,perhaps
页,頁,yè,page
一般,一般,yībān,ordinary
一边,一邊,yībiān,while
一定,一定,yīdìng,certain
以为,以為,yǐwéi,to think
艺术,藝術,yìshù,art
意见,意見,yìjiàn,opinion
意思,意思,yìsi,meaning
因为,因為,yīnwèi,because
音乐,音樂,yīnyuè,music
应该,應該,yīnggāi,should
影响,影響,yǐngxiǎng,influence
用,用,yòng,to use
优秀,優秀,yōuxiù,excellent
由于,由於,yóuyú,due to
友谊,友誼,yǒuyì,friendship
有名,有名,yǒumíng,famous
鱼,魚,yú,fish
语言,語言,yǔyán,language
预习,預習,yùxí,to preview
原来,原來,yuánlái,originally
原因,原因,yuányīn,reason
愿意,願意,yuànyì,willing
月亮,月亮,yuèliàng,moon
越,越,yuè,more
云,雲,yún,cloud
运动,運動,yùndòng,exercise
杂志,雜誌,zázhì,magazine
再,再,zài,again
早,早,zǎo,early
责任,責任,zérèn,responsibility
增加,增加,zēngjiā,to increase
占线,占線,zhànxiàn,busy line
长,長,zhǎng,long
招聘,招聘,zhāopìn,to recruit
照顾,照顧,zhàogù,to take care of
照片,照片,zhàopiàn,photo
这样,這樣,zhèyàng,this way
真正,真正,zhēnzhèng,real
整理,整理,zhěnglǐ,to organize
正在,正在,zhèngzài,in the process of
正确,正確,zhèngquè,correct
政府,政府,zhèngfǔ,government
知识,知識,zhīshi,knowledge
直接,直接,zhíjiē,direct
值得,值得,zhídé,worth
职业,職業,zhíyè,profession
只好,只好,zhǐhǎo,have to
只要,只要,zhǐyào,as long as
制造,製造,zhìzào,to manufacture
中间,中間,zhōngjiān,middle
种,種,zhǒng,kind
重要,重要,zhòngyào,important
周末,週末,zhōumò,weekend
主要,主要,zhǔyào,main
注意,注意,zhùyì,to pay attention
祝贺,祝賀,zhùhè,to congratulate
专业,專業,zhuānyè,major
准备,準備,zhǔnbèi,to prepare
准时,準時,zhǔnshí,on time
桌子,桌子,zhuōzi,table
字典,字典,zìdiǎn,dictionary
自己,自己,zìjǐ,oneself
自然,自然,zìrán,natural
总是,總是,zǒngshì,always
最后,最後,zuìhòu,finally
作业,作業,zuòyè,homework
作用,作用,zuòyòng,function
