爱护,愛護,àihù,to care for
交往,交往,jiāowǎng,to associate
胶水,膠水,jiāoshuǐ,glue
角落,角落,jiǎoluò,corner
脚步,腳步,jiǎobù,footstep
教练,教練,jiàoliàn,coach
接近,接近,jiējìn,to approach
结合,結合,jiéhé,to combine
节省,節省,jiéshěng,to save
解决,解決,jiějué,to solve
解释,解釋,jiěshì,to explain
戒,戒,jiè,to give up
借口,借口,jièkǒu,excuse
金属,金屬,jīnshǔ,metal
尽力,盡力,jìnlì,to do one's best
尽量,盡量,jìnliàng,as much as possible
紧急,緊急,jǐnjí,urgent
紧张,緊張,jǐnzhāng,nervous
仅仅,僅僅,jǐnjǐn,only
谨慎,謹慎,jǐnshèn,cautious
进口,進口,jìnkǒu,import
晶,晶,jīng,crystal
精力,精力,jīnglì,energy
景色,景色,jǐngsè,scenery
镜子,鏡子,jìngzi,mirror
纠纷,糾紛,jiūfēn,dispute
酒吧,酒吧,jiǔbā,bar
就是说,就是說,jiùshìshuō,that is to say
居然,居然,jūrán,unexpectedly
橘子,橘子,júzi,orange
据说,據說,jùshuō,it is said
决心,決心,juéxīn,determination
军事,軍事,jūnshì,military
开发,開發,kāifā,to develop
开玩笑,開玩笑,kāiwánxiào,to joke
开心,開心,kāixīn,happy
砍,砍,kǎn,to cut
看不起,看不起,kànbuqǐ,to look down upon
考虑,考慮,kǎolǜ,to consider
烤鸭,烤鴨,kǎoyā,roast duck
科目,科目,kēmù,subject
可见,可見,kějiàn,it can be seen
可靠,可靠,kěkào,reliable
可是,可是,kěshì,but
刻,刻,kè,to carve
客厅,客廳,kètīng,living room
空调,空調,kōngtiáo,air conditioning
恐怕,恐怕,kǒngpà,I'm afraid
口袋,口袋,kǒudài,pocket
哭,哭,kū,to cry
苦,苦,kǔ,bitter
夸张,誇張,kuāzhāng,exaggerated
快餐,快餐,kuàicān,fast food
宽容,寬容,kuānróng,tolerant
矿泉水,礦泉水,kuàngquánshuǐ,mineral water
昆虫,昆蟲,kūnchóng,insect
拉,拉,lā,to pull
辣椒,辣椒,làjiāo,chili
蜡烛,蠟燭,làzhú,candle
浪漫,浪漫,làngmàn,romantic
老百姓,老百姓,lǎobǎixìng,common people
老板,老闆,lǎobǎn,boss
老婆,老婆,lǎopó,wife
老实,老實,lǎoshí,honest
了不起,了不起,liǎobuqǐ,amazing
雷,雷,léi,thunder
类型,類型,lèixíng,type
冷淡,冷淡,lěngdàn,indifferent
厘米,厘米,límǐ,centimeter
礼拜天,禮拜天,lǐbàitiān,Sunday
理发,理髮,lǐfà,haircut
理想,理想,lǐxiǎng,ideal
立刻,立刻,lìkè,immediately
例外,例外,lìwài,exception
连接,連接,liánjiē,to connect
恋爱,戀愛,liàn'ài,to fall in love
良好,良好,liánghǎo,good
凉快,涼快,liángkuai,cool
两者,兩者,liǎngzhě,both
聊天,聊天,liáotiān,to chat
了解,瞭解,liǎojiě,to understand
邻居,鄰居,línjū,neighbor
铃,鈴,líng,bell
零食,零食,língshí,snacks
领导,領導,lǐngdǎo,leader
领域,領域,lǐngyù,field
流传,流傳,liúchuán,to spread
流泪,流淚,liúlèi,to shed tears
龙,龍,lóng,dragon
楼梯,樓梯,lóutī,stairs
路线,路線,lùxiàn,route
乱,亂,luàn,messy
轮流,輪流,lúnliú,to take turns
逻辑,邏輯,luójí,logic
落后,落後,luòhòu,backward
麻烦,麻煩,máfan,trouble
马虎,馬虎,mǎhu,careless
骂,罵,mà,to scold
买卖,買賣,mǎimài,business
满足,滿足,mǎnzú,satisfied
矛盾,矛盾,máodùn,contradiction
冒险,冒險,màoxiǎn,to take risks
没关系,沒關係,méiguānxi,it doesn't matter
媒体,媒體,méitǐ,media
美术,美術,měishù,art
魅力,魅力,mèilì,charm
梦想,夢想,mèngxiǎng,dream
秘书,秘書,mìshū,secretary
密码,密碼,mìmǎ,password
蜜蜂,蜜蜂,mìfēng,bee
免得,免得,miǎnde,so as not to
民族,民族,mínzú,nationality
敏感,敏感,mǐngǎn,sensitive
明显,明顯,míngxiǎn,obvious
命令,命令,mìnglìng,order
模特,模特,mótè,model
摸,摸,mō,to touch
陌生,陌生,mòshēng,strange
某,某,mǒu,certain
木头,木頭,mùtou,wood
目标,目標,mùbiāo,goal
母亲,母親,mǔqīn,mother
哪怕,哪怕,nǎpà,even if
内部,內部,nèibù,internal
能干,能幹,nénggàn,capable
能源,能源,néngyuán,energy
年代,年代,niándài,era
宁愿,寧願,nìngyuàn,would rather
牛仔裤,牛仔褲,niúzǎikù,jeans
农民,農民,nóngmín,farmer
女士,女士,nǚshì,lady
爬,爬,pá,to climb
拍照,拍照,pāizhào,to take photos
排列,排列,páiliè,to arrange
盘子,盤子,pánzi,plate
判断,判斷,pànduàn,to judge
叛徒,叛徒,pàntú,traitor
培训,培訓,péixùn,training
陪伴,陪伴,péibàn,to accompany
佩服,佩服,pèifú,to admire
碰见,碰見,pèngjiàn,to meet
批准,批准,pīzhǔn,to approve
皮肤,皮膚,pífū,skin
疲劳,疲勞,píláo,tired
啤酒,啤酒,píjiǔ,beer
偏见,偏見,piānjiàn,prejudice
骗,騙,piàn,to cheat
漂亮,漂亮,piàoliang,beautiful
拼音,拼音,pīnyīn,pinyin
频道,頻道,píndào,channel
平常,平常,píngcháng,ordinary
平等,平等,píngděng,equal
平方,平方,píngfāng,square
破坏,破壞,pòhuài,to destroy
期间,期間,qījiān,period
其次,其次,qícì,secondly
奇迹,奇蹟,qíjì,miracle
起作用,起作用,qǐzuòyòng,to work
气候,氣候,qìhòu,climate
牵,牽,qiān,to lead
千万,千萬,qiānwàn,ten million
签字,簽字,qiānzì,to sign
前途,前途,qiántú,future
强调,強調,qiángdiào,to emphasize
抢,搶,qiǎng,to rob
桥梁,橋樑,qiáoliáng,bridge
巧妙,巧妙,qiǎomiào,clever
切,切,qiē,to cut
亲爱,親愛,qīn'ài,dear
亲戚,親戚,qīnqi,relative
勤奋,勤奮,qínfèn,diligent
青春,青春,qīngchūn,youth
轻视,輕視,qīngshì,to despise
情景,情景,qíngjǐng,scene
请求,請求,qǐngqiú,to request
穷,窮,qióng,poor
取消,取消,qǔxiāo,to cancel
圈,圈,quān,circle
缺乏,缺乏,quēfá,to lack
确认,確認,quèrèn,to confirm
群众,群眾,qúnzhòng,masses
然后,然後,ránhòu,then
热爱,熱愛,rè'ài,to love passionately
人才,人才,réncái,talent
人类,人類,rénlèi,mankind
忍不住,忍不住,rěnbuzhù,can't help
日子,日子,rìzi,days
如何,如何,rúhé,how
软件,軟件,ruǎnjiàn,software
弱,弱,ruò,weak
三角,三角,sānjiǎo,triangle
散步,散步,sànbù,to take a walk
森林,森林,sēnlín,forest
沙漠,沙漠,shāmò,desert
傻,傻,shǎ,silly
晒,曬,shài,to dry in the sun
山脉,山脈,shānmài,mountain range
删除,刪除,shānchú,to delete
闪电,閃電,shǎndiàn,lightning
伤心,傷心,shāngxīn,sad
商品,商品,shāngpǐn,commodity
上当,上當,shàngdàng,to be cheated
稍微,稍微,shāowēi,slightly
社区,社區,shèqū,community
设施,設施,shèshī,facilities
摄影,攝影,shèyǐng,photography
伸,伸,shēn,to stretch
神话,神話,shénhuà,myth
升,升,shēng,to rise
生存,生存,shēngcún,to survive
省,省,shěng,to save
失去,失去,shīqù,to lose
诗,詩,shī,poem
狮子,獅子,shīzi,lion
石头,石頭,shítou,stone
时尚,時尚,shíshàng,fashion
实话,實話,shíhuà,truth
实在,實在,shízài,really
使劲,使勁,shǐjìn,to exert oneself
世纪,世紀,shìjì,century
试卷,試卷,shìjuàn,test paper
收获,收穫,shōuhuò,harvest
手工,手工,shǒugōng,handmade
首先,首先,shǒuxiān,first
受伤,受傷,shòushāng,injured
书架,書架,shūjià,bookshelf
舒适,舒適,shūshì,comfortable
数据,數據,shùjù,data
数字,數字,shùzì,number
帅,帥,shuài,handsome
双方,雙方,shuāngfāng,both sides
水果,水果,shuǐguǒ,fruit
顺序,順序,shùnxù,order
说服,說服,shuōfú,to persuade
硕士,碩士,shuòshì,master's degree
死亡,死亡,sǐwáng,death
寺庙,寺廟,sìmiào,temple
送,送,sòng,to send
搜索,搜索,sōusuǒ,to search
酸,酸,suān,sour
算,算,suàn,to calculate
随着,隨著,suízhe,along with
损失,損失,sǔnshī,loss
缩短,縮短,suōduǎn,to shorten
所谓,所謂,suǒwèi,so-called
台阶,台階,táijiē,steps
太太,太太,tàitai,wife
谈判,談判,tánpàn,negotiation
弹钢琴,彈鋼琴,tángāngqín,to play piano
逃,逃,táo,to escape
讨价还价,討價還價,tǎojiàhuánjià,to bargain
套,套,tào,set
特色,特色,tèsè,characteristic
疼,疼,téng,to hurt
踢,踢,tī,to kick
提供,提供,tígōng,to provide
题目,題目,tímù,topic
体格,體格,tǐgé,physique
天空,天空,tiānkōng,sky
添,添,tiān,to add
挑,挑,tiāo,to pick
挑战,挑戰,tiǎozhàn,challenge
跳,跳,tiào,to jump
停止,停止,tíngzhǐ,to stop
通常,通常,tōngcháng,usually
通讯,通訊,tōngxùn,communication
统一,統一,tǒngyī,unified
偷,偷,tōu,to steal
投资,投資,tóuzī,investment
突出,突出,tūchū,outstanding
土地,土地,tǔdì,land
吐,吐,tù,to spit
推迟,推遲,tuīchí,to postpone
脱,脫,tuō,to take off
拖,拖,tuō,to drag
挖,挖,wā,to dig
袜子,襪子,wàzi,socks
完整,完整,wánzhěng,complete
玩具,玩具,wánjù,toy
碗,碗,wǎn,bowl
万一,萬一,wànyī,in case
网站,網站,wǎngzhàn,website
危险,危險,wēixiǎn,dangerous
违反,違反,wéifǎn,to violate
围巾,圍巾,wéijīn,scarf
唯一,唯一,wéiyī,only
味道,味道,wèidào,taste
文明,文明,wénmíng,civilization
稳定,穩定,wěndìng,stable
卧室,臥室,wòshì,bedroom
无,無,wú,without
武术,武術,wǔshù,martial arts
误会,誤會,wùhuì,misunderstanding
西瓜,西瓜,xīguā,watermelon
吸收,吸收,xīshōu,to absorb
洗衣机,洗衣機,xǐyījī,washing machine
系,系,xì,department
细节,細節,xìjié,detail
下降,下降,xiàjiàng,to decline
先进,先進,xiānjìn,advanced
显得,顯得,xiǎnde,to appear
显然,顯然,xiǎnrán,obviously
现金,現金,xiànjīn,cash
现象,現象,xiànxiàng,phenomenon
相反,相反,xiāngfǎn,opposite
相关,相關,xiāngguān,related
详细,詳細,xiángxì,detailed
想念,想念,xiǎngniàn,to miss
想象,想象,xiǎngxiàng,to imagine
项目,項目,xiàngmù,project
消化,消化,xiāohuà,to digest
消失,消失,xiāoshī,to disappear
小伙子,小伙子,xiǎohuǒzi,young man
效率,效率,xiàolǜ,efficiency
笑话,笑話,xiàohua,joke
心脏,心臟,xīnzàng,heart
信封,信封,xìnfēng,envelope
兴趣,興趣,xìngqù,interest
幸运,幸運,xìngyùn,lucky
性质,性質,xìngzhì,nature
兄弟,兄弟,xiōngdì,brother
胸,胸,xiōng,chest
修理,修理,xiūlǐ,to repair
羞,羞,xiū,shy
需求,需求,xūqiú,demand
宣传,宣傳,xuānchuán,to publicize
选举,選舉,xuǎnjǔ,election
学历,學歷,xuélì,education background
血,血,xuè,blood
压力,壓力,yālì,pressure
牙膏,牙膏,yágāo,toothpaste
严肃,嚴肅,yánsù,serious
研究生,研究生,yánjiūshēng,graduate student
盐,鹽,yán,salt
眼泪,眼淚,yǎnlèi,tears
演讲,演講,yǎnjiǎng,speech
宴会,宴會,yànhuì,banquet
羊,羊,yáng,sheep
养,養,yǎng,to raise
腰,腰,yāo,waist
遥控器,遙控器,yáokòngqì,remote control
要不,要不,yàobù,otherwise
药,藥,yào,medicine
野,野,yě,wild
夜,夜,yè,night
一切,一切,yīqiè,everything
一向,一向,yīxiàng,always
移动,移動,yídòng,to move
疑问,疑問,yíwèn,question
意外,意外,yìwài,accident
艺术家,藝術家,yìshùjiā,artist
阴天,陰天,yīntiān,cloudy
引起,引起,yǐnqǐ,to cause
印刷,印刷,yìnshuā,to print
应用,應用,yìngyòng,application
硬,硬,yìng,hard
拥抱,擁抱,yōngbào,to hug
永远,永遠,yǒngyuǎn,forever
勇敢,勇敢,yǒnggǎn,brave
用途,用途,yòngtú,use
优美,優美,yōuměi,beautiful
幽默,幽默,yōumò,humorous
游戏,遊戲,yóuxì,game
有效,有效,yǒuxiào,effective
幼儿园,幼兒園,yòu'éryuán,kindergarten
愚蠢,愚蠢,yúchǔn,stupid
与其,與其,yǔqí,rather than
羽毛球,羽毛球,yǔmáoqiú,badminton
预报,預報,yùbào,forecast
元,元,yuán,yuan
原料,原料,yuánliào,raw material
圆,圓,yuán,round
约,約,yuē,to make an appointment
月饼,月餅,yuèbǐng,moon cake
运用,運用,yùnyòng,to use
灾难,災難,zāinàn,disaster
再者,再者,zàizhě,moreover
赞成,贊成,zànchéng,to agree
赞美,讚美,zànměi,to praise
脏,髒,zāng,dirty
早餐,早餐,zǎocān,breakfast
造成,造成,zàochéng,to cause
则,則,zé,then
责备,責備,zébèi,to blame
摘,摘,zhāi,to pick
窄,窄,zhǎi,narrow
粘,粘,zhān,to stick
展览,展覽,zhǎnlǎn,exhibition
长辈,長輩,zhǎngbèi,elder
掌握,掌握,zhǎngwò,to master
招待,招待,zhāodài,to entertain
着急,著急,zháojí,anxious
着凉,著涼,zháoliáng,to catch cold
哲学,哲學,zhéxué,philosophy
针,針,zhēn,needle
珍惜,珍惜,zhēnxī,to cherish
震惊,震驚,zhènjīng,shocked
整齐,整齊,zhěngqí,neat
政策,政策,zhèngcè,policy
支,支,zhī,branch
执行,執行,zhíxíng,to execute
直,直,zhí,straight
值,值,zhí,value
指,指,zhǐ,finger
制订,制訂,zhìdìng,to formulate
制作,製作,zhìzuò,to make
智慧,智慧,zhìhuì,wisdom
中介,中介,zhōngjiè,intermediary
终于,終於,zhōngyú,finally
种类,種類,zhǒnglèi,type
周围,周圍,zhōuwéi,around
逐步,逐步,zhúbù,gradually
主席,主席,zhǔxí,chairman
住院,住院,zhùyuàn,hospitalization
祝愿,祝願,zhùyuàn,to wish
抓,抓,zhuā,to grab
专家,專家,zhuānjiā,expert
转,轉,zhuǎn,to turn
庄严,莊嚴,zhuāngyán,solemn
状态,狀態,zhuàngtài,state
追求,追求,zhuīqiú,to pursue
资格,資格,zīgé,qualification
资料,資料,zīliào,material
自从,自從,zìcóng,since
自由,自由,zìyóu,freedom
总共,總共,zǒnggòng,altogether
总理,總理,zǒnglǐ,prime minister
组合,組合,zǔhé,combination
嘴,嘴,zuǐ,mouth
最近,最近,zuìjìn,recently
尊重,尊重,zūnzhòng,to respect
左右,左右,zuǒyòu,about
作家,作家,zuòjiā,writer
