爱情,愛情,àiqíng,love/romance
地震,地震,dìzhèn,earthquake
电池,電池,diànchí,battery
电台,電台,diàntái,radio station
电子邮件,電子郵件,diànzǐyóujiàn,email
调查,調查,diàochá,investigation
丢,丟,diū,to lose
动画片,動畫片,dònghuàpiàn,cartoon
动作,動作,dòngzuò,action
独立,獨立,dúlì,independent
度过,度過,dùguò,to spend time
短信,短信,duǎnxìn,text message
对比,對比,duìbǐ,to compare
对待,對待,duìdài,to treat
对方,對方,duìfāng,other party
对面,對面,duìmiàn,opposite
对于,對於,duìyú,regarding
多亏,多虧,duōkuī,thanks to
多么,多麼,duōme,how
多余,多餘,duōyú,surplus
儿童,兒童,értóng,children
而且,而且,érqiě,moreover
发表,發表,fābiǎo,to publish
发达,發達,fādá,developed
发生,發生,fāshēng,to happen
发现,發現,fāxiàn,to discover
法律,法律,fǎlǜ,law
翻译,翻譯,fānyì,to translate
烦恼,煩惱,fánnǎo,trouble
反对,反對,fǎnduì,to oppose
反应,反應,fǎnyìng,reaction
范围,範圍,fànwéi,scope
方便,方便,fāngbiàn,convenient
方法,方法,fāngfǎ,method
方面,方面,fāngmiàn,aspect
方式,方式,fāngshì,way/method
方向,方向,fāngxiàng,direction
仿佛,彷彿,fǎngfú,as if
非常,非常,fēicháng,very
分别,分別,fēnbié,respectively
分配,分配,fēnpèi,to distribute
分析,分析,fēnxī,to analyze
否认,否認,fǒurèn,to deny
否则,否則,fǒuzé,otherwise
服务,服務,fúwù,service
辅导,輔導,fǔdǎo,to tutor
妇女,婦女,fùnǚ,women
负责,負責,fùzé,responsible
复杂,複雜,fùzá,complicated
改变,改變,gǎibiàn,to change
改革,改革,gǎigé,reform
改善,改善,gǎishàn,to improve
感动,感動,gǎndòng,moved/touched
感觉,感覺,gǎnjué,to feel
感谢,感謝,gǎnxiè,to thank
干脆,乾脆,gāncuì,simply
干燥,乾燥,gānzào,dry
刚才,剛才,gāngcái,just now
刚刚,剛剛,gānggāng,just
高级,高級,gāojí,high level
告别,告別,gàobié,to bid farewell
个别,個別,gèbié,individual
个人,個人,gèrén,individual
个性,個性,gèxìng,personality
根本,根本,gēnběn,fundamental
工程,工程,gōngchéng,project
公布,公佈,gōngbù,to announce
公开,公開,gōngkāi,public
公平,公平,gōngpíng,fair
公司,公司,gōngsī,company
功课,功課,gōngkè,homework
构成,構成,gòuchéng,to constitute
姑娘,姑娘,gūniang,girl
鼓励,鼓勵,gǔlì,to encourage
固定,固定,gùdìng,fixed
挂号,掛號,guàhào,registered mail
关键,關鍵,guānjiàn,key/crucial
关心,關心,guānxīn,to care about
观点,觀點,guāndiǎn,viewpoint
管理,管理,guǎnlǐ,to manage
光明,光明,guāngmíng,bright
广播,廣播,guǎngbō,broadcast
归纳,歸納,guīnà,to summarize
规律,規律,guīlǜ,law/pattern
国际,國際,guójì,international
果然,果然,guǒrán,as expected
过程,過程,guòchéng,process
海关,海關,hǎiguān,customs
害羞,害羞,hàixiū,shy
寒暄,寒暄,hánxuān,small talk
汗,汗,hàn,sweat
行业,行業,hángyè,industry
合格,合格,hégé,qualified
合理,合理,hélǐ,reasonable
合适,合適,héshì,suitable
和谐,和諧,héxié,harmonious
后果,後果,hòuguǒ,consequence
后来,後來,hòulái,later
忽然,忽然,hūrán,suddenly
糊涂,糊塗,hútu,confused
互相,互相,hùxiāng,mutual
护士,護士,hùshi,nurse
怀疑,懷疑,huáiyí,to doubt
环节,環節,huánjié,link
幻想,幻想,huànxiǎng,fantasy
回忆,回憶,huíyì,memory
婚姻,婚姻,hūnyīn,marriage
活跃,活躍,huóyuè,active
火柴,火柴,huǒchái,match
获得,獲得,huòdé,to obtain
机器,機器,jīqì,machine
积极,積極,jījí,positive
基础,基礎,jīchǔ,foundation
激动,激動,jīdòng,excited
即使,即使,jíshǐ,even if
急忙,急忙,jímáng,hurried
集合,集合,jíhé,to gather
计划,計劃,jìhuà,plan
记录,記錄,jìlù,to record
记忆,記憶,jìyì,memory
技术,技術,jìshù,technology
继续,繼續,jìxù,to continue
寄托,寄託,jìtuō,to entrust
加油站,加油站,jiāyóuzhàn,gas station
假如,假如,jiǎrú,if
假设,假設,jiǎshè,to assume
坚持,堅持,jiānchí,to persist
检查,檢查,jiǎnchá,to check
简历,簡歷,jiǎnlì,resume
建议,建議,jiànyì,suggestion
将来,將來,jiānglái,future
讲座,講座,jiǎngzuò,lecture
交换,交換,jiāohuàn,to exchange
交际,交際,jiāojì,social
交通,交通,jiāotōng,traffic
角度,角度,jiǎodù,angle
教授,教授,jiàoshòu,professor
接触,接觸,jiēchù,to contact
接待,接待,jiēdài,to receive
结果,結果,jiéguǒ,result
结论,結論,jiélùn,conclusion
节约,節約,jiéyuē,to save
解释,解釋,jiěshì,to explain
紧急,緊急,jǐnjí,urgent
紧张,緊張,jǐnzhāng,nervous
尽管,儘管,jǐnguǎn,although
进步,進步,jìnbù,progress
进行,進行,jìnxíng,to carry out
经历,經歷,jīnglì,experience
经验,經驗,jīngyàn,experience
精彩,精彩,jīngcǎi,wonderful
竞争,競爭,jìngzhēng,competition
究竟,究竟,jiūjìng,after all
举办,舉辦,jǔbàn,to hold
拒绝,拒絕,jùjué,to refuse
距离,距離,jùlí,distance
开发,開發,kāifā,to develop
开放,開放,kāifàng,open
看法,看法,kànfǎ,opinion
考虑,考慮,kǎolǜ,to consider
科学,科學,kēxué,science
可怜,可憐,kělián,pitiful
可是,可是,kěshì,but
客观,客觀,kèguān,objective
空间,空間,kōngjiān,space
控制,控制,kòngzhì,to control
口味,口味,kǒuwèi,taste
夸奖,誇獎,kuājiǎng,to praise
快递,快遞,kuàidì,express delivery
宽,寬,kuān,wide
困难,困難,kùnnan,difficult
扩大,擴大,kuòdà,to expand
拉,拉,lā,to pull
来不及,來不及,láibují,too late
来得及,來得及,láidéjí,in time
浪费,浪費,làngfèi,to waste
劳动,勞動,láodòng,labor
老实,老實,lǎoshí,honest
乐观,樂觀,lèguān,optimistic
理发,理髮,lǐfà,haircut
理解,理解,lǐjiě,to understand
理论,理論,lǐlùn,theory
理想,理想,lǐxiǎng,ideal
厉害,厲害,lìhai,severe
力气,力氣,lìqi,strength
立即,立即,lìjí,immediately
利用,利用,lìyòng,to use
连忙,連忙,liánmáng,hurriedly
连续,連續,liánxù,continuous
恋爱,戀愛,liàn'ài,to fall in love
凉快,涼快,liángkuai,cool
了不起,了不起,liǎobuqǐ,amazing
临时,臨時,línshí,temporary
灵活,靈活,línghuó,flexible
领导,領導,lǐngdǎo,leader
浏览,瀏覽,liúlǎn,to browse
流利,流利,liúlì,fluent
流行,流行,liúxíng,popular
录取,錄取,lùqǔ,to admit
录音,錄音,lùyīn,recording
旅行,旅行,lǚxíng,to travel
乱,亂,luàn,messy
逻辑,邏輯,luójí,logic
满足,滿足,mǎnzú,satisfied
毛病,毛病,máobìng,problem
贸易,貿易,màoyì,trade
密切,密切,mìqiè,close
免费,免費,miǎnfèi,free
面积,面積,miànjī,area
面临,面臨,miànlín,to face
民主,民主,mínzhǔ,democracy
敏感,敏感,mǐngǎn,sensitive
明确,明確,míngquè,clear
命运,命運,mìngyùn,fate
模仿,模仿,mófǎng,to imitate
模糊,模糊,móhu,vague
目标,目標,mùbiāo,goal
目前,目前,mùqián,currently
耐心,耐心,nàixīn,patience
难怪,難怪,nánguài,no wonder
内容,內容,nèiróng,content
能力,能力,nénglì,ability
年龄,年齡,niánlíng,age
宁可,寧可,nìngkě,would rather
农村,農村,nóngcūn,countryside
浓,濃,nóng,thick
努力,努力,nǔlì,to work hard
女性,女性,nǚxìng,female
偶然,偶然,ǒurán,by chance
拍,拍,pāi,to pat
派,派,pài,to send
盼望,盼望,pànwàng,to look forward to
培养,培養,péiyǎng,to cultivate
陪,陪,péi,to accompany
配合,配合,pèihé,to cooperate
批评,批評,pīpíng,to criticize
脾气,脾氣,píqi,temper
片面,片面,piànmiàn,one-sided
飘,飄,piāo,to float
乒乓球,乒乓球,pīngpāngqiú,ping-pong
平等,平等,píngděng,equal
平静,平靜,píngjìng,calm
评价,評價,píngjià,to evaluate
破,破,pò,broken
迫切,迫切,pòqiè,urgent
期待,期待,qīdài,to expect
其余,其餘,qíyú,the rest
奇怪,奇怪,qíguài,strange
骑,騎,qí,to ride
企业,企業,qǐyè,enterprise
启发,啟發,qǐfā,to inspire
气氛,氣氛,qìfēn,atmosphere
汽油,汽油,qìyóu,gasoline
谦虚,謙虛,qiānxū,modest
签证,簽證,qiānzhèng,visa
亲自,親自,qīnzì,personally
勤奋,勤奮,qínfèn,diligent
青年,青年,qīngnián,youth
轻松,輕鬆,qīngsōng,relaxed
清楚,清楚,qīngchu,clear
情况,情況,qíngkuàng,situation
请客,請客,qǐngkè,to treat
庆祝,慶祝,qìngzhù,to celebrate
穷,窮,qióng,poor
区别,區別,qūbié,difference
取消,取消,qǔxiāo,to cancel
全部,全部,quánbù,all
缺点,缺點,quēdiǎn,shortcoming
确定,確定,quèdìng,to determine
确实,確實,quèshí,indeed
然而,然而,rán'ér,however
让,讓,ràng,to let
热烈,熱烈,rèliè,warm
人口,人口,rénkǒu,population
人生,人生,rénshēng,life
人事,人事,rénshì,personnel
认识,認識,rènshi,to know
任何,任何,rènhé,any
任务,任務,rènwu,task
日常,日常,rìcháng,daily
如今,如今,rújīn,nowadays
软件,軟件,ruǎnjiàn,software
散步,散步,sànbù,to take a walk
嗓子,嗓子,sǎngzi,throat
色彩,色彩,sècǎi,color
商量,商量,shāngliang,to discuss
上当,上當,shàngdàng,to be cheated
设备,設備,shèbèi,equipment
设计,設計,shèjì,to design
社会,社會,shèhuì,society
申请,申請,shēnqǐng,to apply
深刻,深刻,shēnkè,deep
甚至,甚至,shènzhì,even
生产,生產,shēngchǎn,to produce
生动,生動,shēngdòng,vivid
生活,生活,shēnghuó,life
生命,生命,shēngmìng,life
声音,聲音,shēngyīn,sound
失望,失望,shīwàng,disappointed
师傅,師傅,shīfu,master
时代,時代,shídài,era
时期,時期,shíqī,period
实际,實際,shíjì,actual
实践,實踐,shíjiàn,practice
实现,實現,shíxiàn,to realize
使,使,shǐ,to make
世纪,世紀,shìjì,century
世界,世界,shìjiè,world
收入,收入,shōurù,income
手术,手術,shǒushù,surgery
受到,受到,shòudào,to receive
输,輸,shū,to lose
舒服,舒服,shūfu,comfortable
熟悉,熟悉,shúxī,familiar
数量,數量,shùliàng,quantity
水平,水平,shuǐpíng,level
说明,說明,shuōmíng,to explain
硕士,碩士,shuòshì,master's degree
思考,思考,sīkǎo,to think
私人,私人,sīrén,private
速度,速度,sùdù,speed
随时,隨時,suíshí,anytime
孙子,孫子,sūnzi,grandson
所谓,所謂,suǒwèi,so-called
台,台,tái,platform
态度,態度,tàidù,attitude
谈话,談話,tánhuà,conversation
坦率,坦率,tǎnshuài,frank
淘气,淘氣,táoqì,naughty
特点,特點,tèdiǎn,characteristic
特殊,特殊,tèshū,special
疼爱,疼愛,téng'ài,to love dearly
提倡,提倡,tíchàng,to advocate
提醒,提醒,tíxǐng,to remind
体会,體會,tǐhuì,to experience
体验,體驗,tǐyàn,to experience
天真,天真,tiānzhēn,naive
条件,條件,tiáojiàn,condition
调节,調節,tiáojié,to adjust
通过,通過,tōngguò,to pass
通知,通知,tōngzhī,to notify
痛苦,痛苦,tòngkǔ,painful
推荐,推薦,tuījiàn,to recommend
脱,脫,tuō,to take off
袜子,襪子,wàzi,socks
外交,外交,wàijiāo,diplomacy
完全,完全,wánquán,completely
网络,網絡,wǎngluò,network
忘记,忘記,wàngjì,to forget
威胁,威脅,wēixié,threat
维护,維護,wéihù,to maintain
为,為,wèi,for
位置,位置,wèizhi,position
温度,溫度,wēndù,temperature
文件,文件,wénjiàn,document
文学,文學,wénxué,literature
文章,文章,wénzhāng,article
问题,問題,wèntí,problem
握手,握手,wòshǒu,to shake hands
无论,無論,wúlùn,no matter
舞蹈,舞蹈,wǔdǎo,dance
物理,物理,wùlǐ,physics
西红柿,西紅柿,xīhóngshì,tomato
吸引,吸引,xīyǐn,to attract
系统,系統,xìtǒng,system
下载,下載,xiàzǎi,to download
现实,現實,xiànshí,reality
相对,相對,xiāngduì,relative
相当,相當,xiāngdāng,quite
详细,詳細,xiángxì,detailed
响,響,xiǎng,to ring
向往,向往,xiàngwǎng,to yearn for
消费,消費,xiāofèi,to consume
消息,消息,xiāoxi,news
小说,小說,xiǎoshuō,novel
效果,效果,xiàoguǒ,effect
心理,心理,xīnlǐ,psychology
信任,信任,xìnrèn,to trust
信息,信息,xìnxī,information
兴奋,興奮,xīngfèn,excited
行为,行為,xíngwéi,behavior
性别,性別,xìngbié,gender
性格,性格,xìnggé,personality
幸福,幸福,xìngfú,happiness
修改,修改,xiūgǎi,to modify
许多,許多,xǔduō,many
宣布,宣佈,xuānbù,to announce
选举,選舉,xuǎnjǔ,election
学者,學者,xuézhě,scholar
压力,壓力,yālì,pressure
严格,嚴格,yángé,strict
研究,研究,yánjiū,research
演出,演出,yǎnchū,performance
演员,演員,yǎnyuán,actor
阳光,陽光,yángguāng,sunshine
养成,養成,yǎngchéng,to develop
要求,要求,yāoqiú,to require
也许,也許,yěxǔ,perhaps
一旦,一旦,yīdàn,once
一致,一致,yīzhì,consistent
依靠,依靠,yīkào,to depend on
以及,以及,yǐjí,as well as
以前,以前,yǐqián,before
意义,意義,yìyì,meaning
艺术,藝術,yìshù,art
因此,因此,yīncǐ,therefore
印象,印象,yìnxiàng,impression
应当,應當,yīngdāng,should
营养,營養,yíngyǎng,nutrition
影响,影響,yǐngxiàng,influence
用功,用功,yònggōng,hardworking
优点,優點,yōudiǎn,advantage
优秀,優秀,yōuxiù,excellent
尤其,尤其,yóuqí,especially
由,由,yóu,by
由于,由於,yóuyú,due to
有趣,有趣,yǒuqù,interesting
娱乐,娛樂,yúlè,entertainment
与,與,yǔ,and
预报,預報,yùbào,forecast
预习,預習,yùxí,to preview
原来,原來,yuánlái,originally
原则,原則,yuánzé,principle
愿望,願望,yuànwàng,wish
约会,約會,yuēhuì,date
运气,運氣,yùnqi,luck
运输,運輸,yùnshū,transportation
杂志,雜誌,zázhì,magazine
灾害,災害,zāihài,disaster
再三,再三,zàisān,repeatedly
责任,責任,zérèn,responsibility
怎么样,怎麼樣,zěnmeyàng,how about
增长,增長,zēngzhǎng,to increase
占,占,zhàn,to occupy
招聘,招聘,zhāopìn,to recruit
照顾,照顧,zhàogù,to take care of
哲学,哲學,zhéxué,philosophy
针对,針對,zhēnduì,to aim at
争论,爭論,zhēnglùn,to argue
正常,正常,zhèngcháng,normal
正式,正式,zhèngshì,formal
政策,政策,zhèngcè,policy
政治,政治,zhèngzhì,politics
支持,支持,zhīchí,to support
知识,知識,zhīshi,knowledge
制度,制度,zhìdù,system
质量,質量,zhìliàng,quality
治疗,治療,zhìliáo,to treat
重点,重點,zhòngdiǎn,key point
周围,周圍,zhōuwéi,surrounding
主动,主動,zhǔdòng,active
住址,住址,zhùzhǐ,address
祝贺,祝賀,zhùhè,congratulations
专门,專門,zhuānmén,specialized
专业,專業,zhuānyè,major
转变,轉變,zhuǎnbiàn,to transform
赚,賺,zhuàn,to earn
准确,準確,zhǔnquè,accurate
仔细,仔細,zǐxì,careful
自然,自然,zìrán,natural
自信,自信,zìxìn,confident
总结,總結,zǒngjié,to summarize
租,租,zū,to rent
组成,組成,zǔchéng,to compose
组织,組織,zǔzhī,organization
最初,最初,zuìchū,initial
作品,作品,zuòpǐn,work
作为,作為,zuòwéi,as
